"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"08/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.0400",""
"08/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-47.0800",""
"08/22/2007","Sell","258.2300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$258.2300",""
"08/21/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-18.0000",""
"08/21/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-240.2300",""
"08/20/2007","Sell","171.3200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$171.3200",""
"08/17/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.0000",""
"08/17/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-49.3200",""
"08/17/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-102.0000",""
"08/16/2007","","164.3300","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"08/15/2007","Sell","28.8500","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$28.8500",""
"08/14/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-28.8500",""
"08/14/2007","Sell","2,656.8600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,656.8600",""
"08/13/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-2,656.8600",""
"08/13/2007","Sell","1,119.0700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,119.0700",""
"08/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"08/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-56.5700",""
"08/09/2007","Buy","17,600.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-17,600.0000",""
"08/08/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$17,600.0000",""
"08/07/2007","Sell","31.4600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$31.4600",""
"08/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-31.4600",""
"08/02/2007","Sell","1,762.0200","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,762.0200",""
"08/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.0200",""
"08/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-103.0000",""
"08/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,648.0000",""
"07/30/2007","Sell","25.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$25.0000",""
"07/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-15.0000",""
